id,title,description,link,image_link,price,availability,brand,condition,item_group_id,identifier_exists,google_product_category,product_type,shipping_label,custom_label_0,custom_label_1,custom_label_2
eternal-love-card-design-1-love-pack,"Valentine's Pack - Eternal Love Holographic Card + Display Case","Premium holographic Valentine card in the Eternal Love design, plus display case, stand, and envelope.","https://ultrararelove.com/products/i-choose-you-the-ultimate-valentines-gift?bundle=love-pack&design=design-1","https://ultrararelove.com/images/cards/cardd1.png","37.95 USD",in stock,UltraRareLove,new,eternal-love-card-design-1,no,"Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Trading Cards","Valentine > Holographic Card","free-ship",design-1,love-pack,primary
eternal-love-card-design-1-card-only,"Card Only - Eternal Love Holographic Valentine Card","Premium holographic Valentine card in the Eternal Love design, includes envelope.","https://ultrararelove.com/products/i-choose-you-the-ultimate-valentines-gift?bundle=card-only&design=design-1","https://ultrararelove.com/images/cards/cardd1.png","24.95 USD",in stock,UltraRareLove,new,eternal-love-card-design-1,no,"Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Trading Cards","Valentine > Holographic Card","standard-ship",design-1,card-only,secondary
eternal-love-card-design-2-love-pack,"Valentine's Pack - Forever Yours Holographic Card + Display Case","Premium holographic Valentine card in the Forever Yours design, plus display case, stand, and envelope.","https://ultrararelove.com/products/i-choose-you-the-ultimate-valentines-gift?bundle=love-pack&design=design-2","https://ultrararelove.com/images/cards/cardd2.png","37.95 USD",in stock,UltraRareLove,new,eternal-love-card-design-2,no,"Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Trading Cards","Valentine > Holographic Card","free-ship",design-2,love-pack,primary
eternal-love-card-design-2-card-only,"Card Only - Forever Yours Holographic Valentine Card","Premium holographic Valentine card in the Forever Yours design, includes envelope.","https://ultrararelove.com/products/i-choose-you-the-ultimate-valentines-gift?bundle=card-only&design=design-2","https://ultrararelove.com/images/cards/cardd2.png","24.95 USD",in stock,UltraRareLove,new,eternal-love-card-design-2,no,"Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Trading Cards","Valentine > Holographic Card","standard-ship",design-2,card-only,secondary
eternal-love-card-design-3-love-pack,"Valentine's Pack - My Heart Holographic Card + Display Case","Premium holographic Valentine card in the My Heart design, plus display case, stand, and envelope.","https://ultrararelove.com/products/i-choose-you-the-ultimate-valentines-gift?bundle=love-pack&design=design-3","https://ultrararelove.com/images/cards/cardd3.png","37.95 USD",in stock,UltraRareLove,new,eternal-love-card-design-3,no,"Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Trading Cards","Valentine > Holographic Card","free-ship",design-3,love-pack,primary
eternal-love-card-design-3-card-only,"Card Only - My Heart Holographic Valentine Card","Premium holographic Valentine card in the My Heart design, includes envelope.","https://ultrararelove.com/products/i-choose-you-the-ultimate-valentines-gift?bundle=card-only&design=design-3","https://ultrararelove.com/images/cards/cardd3.png","24.95 USD",in stock,UltraRareLove,new,eternal-love-card-design-3,no,"Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Trading Cards","Valentine > Holographic Card","standard-ship",design-3,card-only,secondary
