Ad asset report
17 January 2025 - 17 February 2025
Asset status,Asset,Asset type,Level,Status,Status reason,Added by,Last updated,CTR,Currency code,Avg. CPC,Conversions,Conv. value,Impr.,Clicks,Cost
Enabled,"Buy Now
Limited stock left
Order NOW
https://pokemyhe.art/products/i-choose-you-the-ultimate-romantic-gift?variant=51026517754172",Sitelink,Campaign,Not eligible,Disapproved,Advertiser,"16 Jan 2025, 01:33",14.74%,AUD,2.69,6.00,404.15,441,65,174.63
Enabled,"Buy Now
Limited stock - get yours now!
Selling fast!
https://pokemyhe.art/products/i-choose-you-the-ultimate-romantic-gift?variant=51026517754172",Sitelink,Campaign,Not eligible,Disapproved,Advertiser,"15 Jan 2025, 22:19",10.93%,AUD,1.74,5.10,344.54,439,48,83.70
Enabled,Pokémyheart,Business name,Campaign,Eligible,,Advertiser,"23 Oct 2025, 19:03",1.57%,AUD,0.32,0.00,0.00,"1,213",19,6.11
Enabled,https://tpc.googlesyndication.com/simgad/666306647063114526,Logo,Campaign,Eligible,,Advertiser,"23 Oct 2025, 19:03",1.07%,AUD,0.33,0.00,0.00,"5,607",60,19.77
Enabled,"Read The FAQs
Frequently Answered Questions
Commonly asked questions answered
https://pokemyhe.art/pages/faq",Sitelink,Campaign,Not eligible,Disapproved,Advertiser,"15 Jan 2025, 22:19",12.40%,AUD,2.15,10.60,716.07,863,107,230.08
