Age report
17 January 2025 - 17 February 2025
Age,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
45 - 54,379,"45,090",0.84%,AUD,0.82,311.79,0.15%,7.00,44.54
25 - 34,"3,451","228,441",1.51%,AUD,1.00,3434.35,1.29%,198.67,17.29
55 - 64,137,"15,358",0.89%,AUD,1.01,138.97,0.22%,3.00,46.32
Unknown,"1,482","206,369",0.72%,AUD,0.88,1304.20,0.69%,54.33,24.00
18 - 24,"1,700","175,116",0.97%,AUD,0.80,1353.95,0.28%,46.00,29.43
65+,129,"12,046",1.07%,AUD,0.83,106.62,0.19%,2.00,53.31
35 - 44,"1,719","133,213",1.29%,AUD,0.93,1601.55,0.67%,86.00,18.62
Total: Ages,"8,997","815,633",1.10%,AUD,0.92,8251.43,0.66%,397.00,20.78
Total: Campaign,"8,997","815,633",1.10%,AUD,0.92,8251.43,0.66%,397.00,20.78
