Device report
17 January 2025 - 17 February 2025
Device,Level,Campaign,Ad group,Bid adj.,Ad group bid adj.,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
Tablets,Campaign,US GOOGLE ADS, --, --,None,127,"44,547",0.29%,AUD,1.03,130.81,0.05%,2.00,65.41
TV screens,Campaign,US GOOGLE ADS, --, --,None,0,17,0.00%,AUD,0,0.21,0.00%,0.00,0.00
Mobile Phones,Campaign,US GOOGLE ADS, --, --,None,"8,258","698,054",1.18%,AUD,0.89,7311.86,0.70%,362.01,20.20
Computers,Campaign,US GOOGLE ADS, --, --,None,612,"73,015",0.84%,AUD,1.32,808.55,0.79%,32.99,24.51
,,,,Total: Campaign,,"8,997","815,633",1.10%,AUD,0.92,8251.43,0.66%,397.00,20.78
